127.0.0.1 - - [19/Jun/2018:08:31:46 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [19/Jun/2018:08:36:24 +0530] "GET /doctors_appointment/login.jsp HTTP/1.1" 200 5519
0:0:0:0:0:0:0:1 - - [19/Jun/2018:08:36:24 +0530] "GET /doctors_appointment/css/bootstrap.min.css HTTP/1.1" 200 140930
0:0:0:0:0:0:0:1 - - [19/Jun/2018:08:36:24 +0530] "GET /doctors_appointment/css/bootstrap.css HTTP/1.1" 200 173442
0:0:0:0:0:0:0:1 - - [19/Jun/2018:08:36:25 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [19/Jun/2018:08:38:04 +0530] "GET /doctors_appointment/login.jsp? HTTP/1.1" 200 5519
0:0:0:0:0:0:0:1 - - [19/Jun/2018:08:38:04 +0530] "GET /doctors_appointment/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2018:08:38:04 +0530] "GET /doctors_appointment/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2018:08:38:05 +0530] "GET /doctors_appointment/login.jsp? HTTP/1.1" 200 5519
0:0:0:0:0:0:0:1 - - [19/Jun/2018:08:38:13 +0530] "GET /doctors_appointment/css/bootstrap.css.map HTTP/1.1" 200 426412
0:0:0:0:0:0:0:1 - - [19/Jun/2018:08:38:13 +0530] "GET /doctors_appointment/css/bootstrap.min.css.map HTTP/1.1" 200 559636
0:0:0:0:0:0:0:1 - - [19/Jun/2018:08:51:13 +0530] "GET /doctors_appointment/welcome.jsp? HTTP/1.1" 200 1344
0:0:0:0:0:0:0:1 - - [19/Jun/2018:08:51:13 +0530] "GET /doctors_appointment/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2018:08:51:13 +0530] "GET /doctors_appointment/css/bootstrap.css HTTP/1.1" 304 -
